"times","stop_id1","longitude1（經度）","latitude1（緯度）","stop_id2","longitude2","latitude2"
28,"U101010",121.53361,25.01894,"U119070",121.53583,25.0156100025
8,"U101010",121.53361,25.01894,"U119071",121.53992,25.0203600025
5,"U101010",121.53361,25.01894,"U119072",121.53868,25.0188100025
3,"U101010",121.53361,25.01894,"U119074",121.53825,25.0154800025
27,"U101010",121.53361,25.01894,"U119075",121.53995,25.0176100025
1,"U101010",121.53361,25.01894,"U119076",121.54195,25.0192200025
33,"U101010",121.53361,25.01894,"U119077",121.536,25.0189000025
1,"U101010",121.53361,25.01894,"U119078",121.53888,25.0170400025
87,"U101010",121.53361,25.01894,"U119079",121.53455,25.0169800025
2,"U101010",121.53361,25.01894,"U119080",121.53686,25.0153900025
1,"U101010",121.53361,25.01894,"U119081",121.53909,25.0133700025
2,"U101010",121.53361,25.01894,"U119082",121.53781,25.0170300025
21,"U101010",121.53361,25.01894,"U119083",121.53846,25.0196000025
1,"U101010",121.53361,25.01894,"U119084",121.54305,25.0190000025
2,"U101010",121.53361,25.01894,"U119085",121.54247,25.0185700025
24,"U101010",121.53361,25.01894,"U119086",121.53928,25.0180400025
8,"U101010",121.53361,25.01894,"U119087",121.54031,25.0169000025
2,"U101010",121.53361,25.01894,"U119088",121.54347,25.0199500025
3,"U101010",121.53361,25.01894,"U119089",121.54242,25.0179100025
15,"U101010",121.53361,25.01894,"U119090",121.53591,25.0211200025
317,"U101012",121.52982,25.01986,"U101016",121.52989,25.0192700025
53,"U101012",121.52982,25.01986,"U101018",121.53156,25.0189500025
371,"U101012",121.52982,25.01986,"U101104",121.52942,25.0202100025
320,"U101012",121.52982,25.01986,"U101207",121.52855,25.0205500025
127,"U101012",121.52982,25.01986,"U106007",121.529,25.0197000025
28,"U101012",121.52982,25.01986,"U106011",121.52771,25.0207500025
